home_id,home_name,electricity_rate,target_monthly_bill
1,Home_001,6.5,1602
2,Home_002,7.5,2503
3,Home_003,7.0,2071
4,Home_004,6.5,4271
5,Home_005,8.5,1856
6,Home_006,8.5,3228
7,Home_007,6.5,1622
8,Home_008,6.5,2395
9,Home_009,7.0,3569
10,Home_010,8.5,1608
11,Home_011,8.5,2314
12,Home_012,8.5,3218
13,Home_013,7.0,3339
14,Home_014,8.5,2639
15,Home_015,6.5,4608
16,Home_016,7.0,4359
17,Home_017,8.0,2893
18,Home_018,7.5,2136
19,Home_019,7.0,4627
20,Home_020,7.5,1918
21,Home_021,6.5,3056
22,Home_022,6.5,2970
23,Home_023,7.5,3972
24,Home_024,7.5,4805
25,Home_025,6.5,4488
26,Home_026,8.0,3696
27,Home_027,6.5,3050
28,Home_028,6.5,3761
29,Home_029,7.5,4897
30,Home_030,8.5,2981
31,Home_031,8.5,2287
32,Home_032,6.5,1687
33,Home_033,7.0,4666
34,Home_034,7.5,1826
35,Home_035,7.0,1913
36,Home_036,8.0,2638
37,Home_037,8.0,4103
38,Home_038,7.5,2166
39,Home_039,7.5,2955
40,Home_040,7.0,4245
41,Home_041,7.5,4374
42,Home_042,6.5,3995
43,Home_043,7.0,3687
44,Home_044,7.0,2169
45,Home_045,8.0,3054
46,Home_046,7.5,4121
47,Home_047,8.5,2399
48,Home_048,7.5,4952
49,Home_049,6.5,2438
50,Home_050,6.5,4797
51,Home_051,7.5,3143
52,Home_052,7.5,1771
53,Home_053,7.0,3823
54,Home_054,7.5,2370
55,Home_055,8.0,3120
56,Home_056,8.0,2085
57,Home_057,7.5,2071
58,Home_058,7.0,4551
59,Home_059,8.5,3707
60,Home_060,7.5,4559
61,Home_061,8.5,3254
62,Home_062,8.5,3135
63,Home_063,7.5,2398
64,Home_064,7.0,3587
65,Home_065,8.0,1872
66,Home_066,6.5,1949
67,Home_067,7.0,4070
68,Home_068,7.0,4744
69,Home_069,8.0,3942
70,Home_070,6.5,3076
71,Home_071,8.0,3940
72,Home_072,8.0,3667
73,Home_073,7.5,3766
74,Home_074,6.5,4286
75,Home_075,6.5,4292
76,Home_076,8.5,4575
77,Home_077,7.5,4648
78,Home_078,7.5,1956
79,Home_079,7.5,3280
80,Home_080,7.0,3358
81,Home_081,6.5,4457
82,Home_082,7.5,3550
83,Home_083,7.0,3579
84,Home_084,6.5,4061
85,Home_085,7.5,4947
86,Home_086,8.5,3994
87,Home_087,7.0,2126
88,Home_088,7.5,4623
89,Home_089,7.0,3709
90,Home_090,8.5,1502
91,Home_091,8.5,2827
92,Home_092,8.0,1579
93,Home_093,6.5,2986
94,Home_094,7.5,2480
95,Home_095,6.5,2486
96,Home_096,8.5,1822
97,Home_097,6.5,4497
98,Home_098,8.0,4842
99,Home_099,6.5,4615
100,Home_100,8.5,4636
